## Sus Cup 1 — G1 Tokyo Yushun (Japanese Derby)

**Date:** 2025-08-11
**Race time:** 19:06
**Room ID:** 1662 1798
**Track:** Tokyo Turf
**Distance:** 2400m — Medium
**Direction:** Left
**Weather:** Sunny
**Ground:** Firm
**Condition:** Firm
**Mood:** Great
**Season:** Spring
**Rank limit:** A Rank Max

| Pos | Uma                               | Trainer     | No. | Rank | Title             | Style | Time/Gap   | Fav |
|  14 | Oguri Cap       | GohanXGAMER |   6 | A    | Finals Champion   | Pace  | 2 1/2 L    |  10 |
|  15 | Super Creek     | GohanXGAMER |   2 | B    | Speedy Stayer     | Pace  | 2 L        |  16 |
|  16 | Tokai Teio      | Cruzi       |  11 | B+   | Monarch           | Pace  | 3/4 L      |  14 |

 

## Sus Cup 7 — Takarazuka Kinen

**Subtitle:** Pace Chaser Medium
**Date:** 2025-09-06
**Race time:** 19:11
**Room ID:** 2184 9318
**Track:** Hanshin Turf
**Distance:** 2200m — Medium
**Direction:** Right
**Weather:** Random
**Ground:** Random
**Mood:** Great
**Rank limit:** A Rank Max

| Pos | Uma             | Trainer  | No. | Rank | Title             | Style | Time/Gap   | Fav |
| --: | --------------- | -------- | --: | ---- | ----------------- | ----- | ---------- | --: |
|   1 | Agnes Tachyon   | Agnes    |   9 | B+   | Finals Champion   | Pace  | **2:09.2** |   6 |
|   2 | Symboli Rudolf  | Cyciesta |   6 | A    | The GOAT          | Pace  | Neck       |   4 |
|   3 | Agnes Tachyon   | Agnes    |   1 | A    | True Way of Kings | Pace  | 3 L        |   5 |
|   4 | Tokai Teio      | Cyciesta |  11 | A    | Legendary Diva    | Pace  | 3 1/2 L    |   2 |
|   5 | Mejiro McQueen  | Ananth   |   7 | B+   | The GOAT          | Pace  | Neck       |   8 |
|   6 | TM Opera O      | Jiinxye  |   8 | A    | Finals Champion   | Pace  | 1 1/2 L    |   3 |
|   7 | Vihuela Rhythm  | NPC      |  13 | B    | —                 | End   | 1 1/2 L    |  15 |
|   8 | Tokai Teio      | Jiinxye  |  10 | A    | Monarch           | Pace  | 1/2 L      |   1 |
|   9 | Kumbhakarna     | NPC      |  16 | B    | —                 | Late  | 1/2 L      |  12 |
